file,section,depth,startLine,endLine,score,clarity,actionability,evidence,voice,freshness,boundaryClarity,words,highFindings,mediumFindings,lowFindings,issueSummary
pages/ai/index.mdx,Page Intro,0,1,5,7.5,8.6,5.6,5.8,9,8.7,8.6,19,0,0,0,thin page; few executable examples
pages/ai/index.mdx,AI,1,6,20,7.6,8.1,5.7,5.8,9,8.7,9,61,0,0,0,thin page; few executable examples
pages/ai/index.mdx,Agentic Workbench,2,21,32,7.5,8.1,6,5.8,9,8.7,8.6,64,0,0,0,thin page; few executable examples
pages/ai/index.mdx,Sandbox Runtime,2,33,42,7.5,8.1,5.8,5.8,9,8.7,8.6,65,0,0,0,thin page; few executable examples
pages/ai/index.mdx,Evaluation Loop,2,43,46,7.6,8.6,5.7,5.8,9,8.7,8.6,24,0,0,0,thin page; few executable examples
pages/ai/index.mdx,Inference Gateway,2,47,57,7.7,8.1,6,6.7,9,8.7,8.6,91,0,0,0,thin page; few executable examples
pages/ai/index.mdx,Learn More,2,58,64,7.7,8.6,5.9,6.7,9,8.7,8.6,16,0,0,0,thin page; few executable examples
pages/blueprints/ai-agent-sandbox/dapp-and-indexer.mdx,Page Intro,0,1,5,7.6,8.6,5.6,5.8,9,8.7,9,21,0,0,0,thin page; few executable examples
pages/blueprints/ai-agent-sandbox/dapp-and-indexer.mdx,AI Agent Sandbox Dapp Integration,1,6,13,7.7,8.1,6.1,6.2,9,8.7,9,82,0,0,0,thin page
pages/blueprints/ai-agent-sandbox/dapp-and-indexer.mdx,Metadata the dapp should use,2,14,25,6.9,8.1,7.3,6.2,9,8.7,6.8,60,0,0,0,protocol/hosted boundary needs sharper wording; thin page
pages/blueprints/ai-agent-sandbox/dapp-and-indexer.mdx,Protocol state,2,26,39,7.8,8.1,7,6.2,9,8.7,9,110,0,0,0,thin page
pages/blueprints/ai-agent-sandbox/dapp-and-indexer.mdx,Live checks,2,40,51,7.6,8.1,6.1,5.8,9,8.7,9,78,0,0,0,thin page; few executable examples
pages/blueprints/ai-agent-sandbox/dapp-and-indexer.mdx,Iframe policy,2,52,62,7.5,8.1,6,5.8,9,8.7,9,86,0,0,0,thin page; few executable examples
pages/blueprints/ai-agent-sandbox/dapp-and-indexer.mdx,Bad copy to avoid,2,63,72,7.6,8.1,6.4,5.8,9,8.7,9,115,0,0,0,thin page
pages/blueprints/ai-agent-sandbox/index.mdx,Page Intro,0,1,5,6.7,8.6,6.1,5.8,9,8.7,6.8,14,0,0,0,protocol/hosted boundary needs sharper wording; thin page
pages/blueprints/ai-agent-sandbox/index.mdx,AI Agent Sandbox Blueprint,1,6,13,7.8,8.1,6.6,6.2,9,8.7,9,59,0,0,0,thin page
pages/blueprints/ai-agent-sandbox/index.mdx,What happens when a user creates a sandbox,2,14,23,7.6,8.1,6.1,6.2,9,8.7,9,100,0,0,0,thin page; few executable examples
pages/blueprints/ai-agent-sandbox/index.mdx,Modes,2,24,33,7.6,8.1,5.9,6.2,9,8.7,9,65,0,0,0,thin page; few executable examples
pages/blueprints/ai-agent-sandbox/index.mdx,Jobs,2,34,45,7.5,8.1,6,5.8,9,8.7,9,71,0,0,0,thin page; few executable examples
pages/blueprints/ai-agent-sandbox/index.mdx,Read and control surface,2,46,60,7.5,8.1,6.1,5.8,9,8.7,8.6,74,0,0,0,thin page; few executable examples
pages/blueprints/ai-agent-sandbox/index.mdx,What to read next,2,61,68,7.6,8.1,5.9,6.5,9,8.7,9,44,0,0,0,thin page; few executable examples
pages/blueprints/ai-agent-sandbox/index.mdx,Sources used,2,69,72,7.7,8.6,6.1,6.2,9,8.7,9,25,0,0,0,thin page
pages/blueprints/ai-agent-sandbox/operator-requirements.mdx,Page Intro,0,1,5,7.5,8.6,5.6,5.8,9,8.7,8.6,18,0,0,0,thin page; few executable examples
pages/blueprints/ai-agent-sandbox/operator-requirements.mdx,AI Agent Sandbox Operator Requirements,1,6,11,7.5,8.1,5.6,5.8,9,8.7,8.6,54,0,0,0,thin page; few executable examples
pages/blueprints/ai-agent-sandbox/operator-requirements.mdx,Common requirements,2,12,22,7.5,8.1,6,5.8,9,8.7,9,71,0,0,0,thin page; few executable examples
pages/blueprints/ai-agent-sandbox/operator-requirements.mdx,Binary variants,2,23,30,7.9,8.6,7.3,5.8,9,8.7,9,31,0,0,0,thin page
pages/blueprints/ai-agent-sandbox/operator-requirements.mdx,Docker mode,2,31,43,7.6,8.1,6.4,5.8,9,8.7,9,65,0,0,0,thin page
