file,area,kind,audience,overall,voice,clarity,structure,actionability,completeness,sourceGrounding,boundaryClarity,freshness,examples,audienceFit,words,headings,highFindings,mediumFindings,lowFindings,issueSummary
pages/ai/index.mdx,ai,general,general,8.2,9,8.2,8.8,7,8.7,7.6,9,8.7,5.7,7.6,340,6,0,0,0,few executable examples
pages/blueprints/ai-agent-sandbox/dapp-and-indexer.mdx,blueprints,blueprint,app developer,8.6,9,8.4,8.8,10,9.3,6.2,9,8.7,8.5,7.6,552,6,0,0,0,none obvious from rubric
pages/blueprints/ai-agent-sandbox/index.mdx,blueprints,blueprint,developer/operator,8.6,9,8.3,8.8,9.1,9.3,6.9,9,8.7,8.5,7.6,452,7,0,0,0,none obvious from rubric
pages/blueprints/ai-agent-sandbox/operator-requirements.mdx,blueprints,blueprint,operator,8.6,9,8.3,8.8,10,9.3,6.5,9,8.7,8.5,7.6,490,7,0,0,0,none obvious from rubric
pages/blueprints/ai-agent-sandbox/runtime-and-harnesses.mdx,blueprints,blueprint,developer/operator,8.7,9,8.4,8.8,10,9.3,6.7,9,8.7,8.5,7.6,561,6,0,0,0,none obvious from rubric
pages/blueprints/ai-trading/dapp-and-indexer.mdx,blueprints,blueprint,app developer,8.6,9,8.3,8.8,10,9.3,6.2,9,8.7,8.5,7.6,449,6,0,0,0,none obvious from rubric
pages/blueprints/ai-trading/index.mdx,blueprints,blueprint,developer/operator,8.6,9,8.3,8.8,9.5,9.3,6.9,9,8.7,8.5,7.6,467,7,0,0,0,none obvious from rubric
pages/blueprints/ai-trading/operator-requirements.mdx,blueprints,blueprint,operator,8.7,9,8.4,8.8,10,9.3,6.7,9,8.7,8.5,7.6,574,8,0,0,0,none obvious from rubric
pages/blueprints/ai-trading/runtime-and-risk.mdx,blueprints,blueprint,developer/operator,8.6,9,8.4,8.8,9.9,9.3,6.5,9,8.7,8.4,7.6,511,7,0,0,0,none obvious from rubric
pages/blueprints/dapp-integration.mdx,blueprints,blueprint,app developer,8.7,9,8.4,8.8,10,9.3,6.7,9,8.7,8.5,7.6,693,7,0,0,0,none obvious from rubric
pages/blueprints/index.mdx,blueprints,blueprint,developer/operator,8.8,9,8.1,8.8,10,9.3,8,9,8.7,8.5,7.6,462,5,0,0,0,none obvious from rubric
pages/blueprints/operator-matrix.mdx,blueprints,blueprint,developer/operator,8.6,9,8.3,8.8,10,9.3,6.2,9,8.7,8.5,7.6,989,9,0,0,0,none obvious from rubric
pages/blueprints/protocol-model.mdx,blueprints,blueprint,developer/operator,8.6,9,8.4,8.8,10,9.3,6.2,9,8.7,8.5,7.6,719,7,0,0,0,none obvious from rubric
pages/blueprints/surplus-market/dapp-and-indexer.mdx,blueprints,blueprint,app developer,8.5,9,8.3,8.8,9.5,9.3,6.2,9,8.7,8.5,7.6,440,6,0,0,0,none obvious from rubric
pages/blueprints/surplus-market/index.mdx,blueprints,blueprint,developer/operator,8.6,9,8.3,8.8,9.4,9.3,6.9,9,8.7,8.5,7.6,478,7,0,0,0,none obvious from rubric
pages/blueprints/surplus-market/operator-requirements.mdx,blueprints,blueprint,operator,8.7,9,8.3,8.8,10,9.3,6.7,9,8.7,8.5,7.6,434,7,0,0,0,none obvious from rubric
